user_id,book_id,rating,interaction_date
U001,B023,3.0,2026-08-22
U001,B024,4.0,2026-08-28
U001,B021,2.5,2026-08-31
U001,B008,5.0,2026-09-01
U001,B035,2.0,2026-09-02
U001,B011,5.0,2026-09-08
U001,B009,5.0,2026-09-10
U001,B028,2.5,2026-09-11
U001,B016,4.0,2026-09-12
U001,B020,4.0,2026-09-13
U002,B034,4.5,2026-08-23
U002,B023,2.0,2026-08-25
U002,B018,4.5,2026-08-26
U002,B031,3.5,2026-08-27
U002,B011,2.5,2026-08-28
U002,B016,5.0,2026-08-30
U002,B036,4.5,2026-09-01
U002,B009,3.5,2026-09-04
U002,B008,4.0,2026-09-06
U002,B035,3.5,2026-09-06
U002,B005,3.0,2026-09-07
U003,B010,4.5,2026-08-20
U003,B029,4.0,2026-08-20
U003,B009,5.0,2026-08-23
U003,B027,3.5,2026-08-24
U003,B006,2.0,2026-08-27
U003,B017,2.5,2026-09-03
U003,B011,5.0,2026-09-06
U003,B013,2.5,2026-09-09
U003,B030,3.5,2026-09-09
U003,B031,3.5,2026-09-11
U003,B008,5.0,2026-09-12
U003,B026,4.0,2026-09-13
U003,B015,2.0,2026-09-14
U004,B011,5.0,2026-08-20
U004,B034,3.0,2026-08-20
U004,B014,3.5,2026-08-21
U004,B019,3.0,2026-08-24
U004,B033,3.5,2026-08-25
U004,B005,2.0,2026-09-03
U004,B010,5.0,2026-09-05
U004,B007,4.5,2026-09-10
U004,B009,4.5,2026-09-12
U004,B015,3.5,2026-09-13
U005,B027,4.0,2026-08-20
U005,B004,4.0,2026-08-21
U005,B016,4.0,2026-08-21
U005,B019,2.5,2026-08-21
U005,B015,3.5,2026-08-25
U005,B033,3.0,2026-08-30
U005,B031,2.5,2026-08-31
U005,B009,4.0,2026-09-03
U005,B013,5.0,2026-09-05
U005,B022,2.5,2026-09-10
U005,B008,4.0,2026-09-13
U006,B015,3.0,2026-08-21
U006,B019,2.5,2026-08-22
U006,B014,2.5,2026-08-23
U006,B029,3.0,2026-08-24
U006,B006,5.0,2026-08-27
U006,B032,1.5,2026-08-30
U006,B013,4.0,2026-09-04
U006,B027,2.5,2026-09-06
U006,B001,5.0,2026-09-08
U006,B022,2.0,2026-09-09
U006,B030,2.0,2026-09-09
U007,B007,4.0,2026-08-22
U007,B024,5.0,2026-08-30
U007,B011,5.0,2026-09-02
U007,B029,3.5,2026-09-02
U007,B009,5.0,2026-09-05
U007,B004,2.0,2026-09-07
U007,B014,1.5,2026-09-10
U007,B008,4.5,2026-09-12
U007,B017,2.0,2026-09-12
U007,B022,4.5,2026-09-12
U008,B006,4.0,2026-08-20
U008,B014,3.5,2026-08-21
U008,B025,2.5,2026-08-21
U008,B018,2.0,2026-08-23
U008,B021,3.5,2026-08-23
U008,B026,3.5,2026-08-28
U008,B001,4.5,2026-08-29
U008,B016,3.5,2026-08-30
U008,B019,4.0,2026-08-30
U008,B017,5.0,2026-09-07
U008,B002,3.5,2026-09-12
U008,B009,2.5,2026-09-12
U008,B024,3.5,2026-09-12
U008,B020,5.0,2026-09-13
U008,B022,3.0,2026-09-13
U009,B016,4.5,2026-08-20
U009,B009,4.0,2026-08-21
U009,B013,5.0,2026-08-22
U009,B002,4.0,2026-08-24
U009,B006,4.5,2026-08-24
U009,B011,3.5,2026-08-24
U009,B007,2.5,2026-08-27
U009,B015,3.5,2026-08-27
U009,B001,4.0,2026-09-02
U009,B004,4.0,2026-09-02
U009,B014,4.0,2026-09-05
U009,B008,3.5,2026-09-06
U009,B020,3.5,2026-09-11
U010,B015,4.0,2026-08-20
U010,B031,4.0,2026-08-22
U010,B006,4.5,2026-08-23
U010,B024,3.5,2026-08-23
U010,B009,3.5,2026-08-25
U010,B012,4.0,2026-08-26
U010,B014,2.0,2026-08-27
U010,B018,4.0,2026-08-27
U010,B034,4.5,2026-08-29
U010,B029,3.5,2026-09-03
U010,B010,3.5,2026-09-08
U011,B011,3.5,2026-08-24
U011,B012,3.0,2026-08-30
U011,B019,3.0,2026-08-30
U011,B029,3.0,2026-08-31
U011,B017,1.5,2026-09-01
U011,B022,2.5,2026-09-03
U011,B002,4.5,2026-09-07
U011,B015,1.5,2026-09-11
U011,B018,2.5,2026-09-14
U012,B035,3.0,2026-08-21
U012,B031,2.5,2026-08-25
U012,B022,4.5,2026-08-27
U012,B034,3.0,2026-08-28
U012,B010,2.5,2026-08-29
U012,B020,4.5,2026-08-31
U012,B026,4.0,2026-09-03
U012,B027,3.5,2026-09-06
U012,B007,2.5,2026-09-07
U012,B036,3.0,2026-09-08
